iter	RMSE
0	12.86561612
1	11.21756213
2	9.919218343
3	8.920560888
4	8.235307357
5	7.647938589
6	7.203119616
7	6.87622823
8	6.591101855
9	6.414553509
10	6.235249845
11	6.076762379
12	5.958634227
13	5.856224609
14	5.799410373
15	5.745962568
16	5.695080078
17	5.646576671
18	5.603506639
19	5.571957883
20	5.54555952
21	5.502803102
22	5.488681785
23	5.454226144
24	5.433396849
25	5.423259126
26	5.41641362
27	5.39904616
28	5.388181593
29	5.376456077
30	5.363572972
31	5.355232098
32	5.326947957
33	5.317512812
34	5.310695817
35	5.296007984
36	5.290066115
37	5.281260306
38	5.267090393
39	5.257840844
40	5.244659286
41	5.231613235
42	5.220974414
43	5.217872429
44	5.211675487
45	5.195708801
46	5.182436505
47	5.168231505
48	5.163922663
49	5.143877509
50	5.121484175
51	5.111463211
52	5.095576763
53	5.087182465
54	5.077891171
55	5.073997213
56	5.067550143
57	5.056009055
58	5.050061299
59	5.038089667
60	5.015085342
61	5.003087015
62	4.993606746
63	4.989208523
64	4.986749746
65	4.966697772
66	4.956749304
67	4.949427258
68	4.947347349
69	4.944754639
70	4.937962936
71	4.932602348
72	4.921258884
73	4.913305226
74	4.909406364
75	4.894635622
76	4.884479585
77	4.873397452
78	4.867372699
79	4.863814633
80	4.862610951
81	4.858889628
82	4.856969461
83	4.851756484
84	4.8424072
85	4.825667559
86	4.807062959
87	4.803281041
88	4.797761027
89	4.78904657
90	4.787533983
91	4.775608676
92	4.763374428
93	4.754423779
94	4.748390781
95	4.739828049
96	4.726884975
97	4.718245952
98	4.711469219
99	4.69827036
