iter	Passed	Remaining
0	0	66
1	1	61
2	1	58
3	2	59
4	3	57
5	3	55
6	4	56
7	5	57
8	5	56
9	6	55
10	7	56
11	7	56
12	8	56
13	8	54
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	50
20	13	49
21	13	48
22	14	47
23	14	46
24	15	45
25	15	44
26	16	43
27	16	43
28	17	42
29	17	41
30	18	40
31	18	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	23	36
39	23	35
40	24	35
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	29	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	35	22
62	36	21
63	36	20
64	37	20
65	37	19
66	38	18
67	38	18
68	39	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	48	3
93	49	3
94	49	2
95	50	2
96	50	1
97	51	1
98	51	0
99	51	0
